id,title,uploader,artist,tags,duration_seconds,upload_date,view_count,like_count,year_uploaded,tag_count
zjplA5XnacE,Aalote Chol - Lyrical (আলোতে চল) | Srikanto | Rishav - Sohini | Debayan | Anis | Pralay | |SVF Music,SVF Music,,"['svf music', 'svf music new song', 'latest bengali songs', 'svf', 'aalote chol', 'আলোতে চল', 'srikanto', 'rishav basu', 'sohini sarkar', 'debayan', 'anis', 'pralay', 'Srikanto songs', 'srikanto new web series', 'bengali new series', 'madhumita new song', 'new movie songs', 'debayan banerjee', 'hoichoi new song', 'bengali new movie', 'bengali hit songs', 'viral songs', 'madhumita sarcar new song', 'free web series', 'romantic song', 'love song', 'hindi song 2022', 'alo te chol', 'srikanto hoichoi full movie', 'srikanto full movie']",258,20230105,7469860,58796,2023,30
gJLVTKhTnog,Anuv Jain - HUSN (Official Video),Anuv Jain,,[],239,20231130,217905789,2218168,2023,0
AGsn2ycFRqI,A.R. Rahman - Tum Tak (Lyric Video) | Raanjhanaa | A. R. Rahman | Dhanush | Sonam Kapoor | Javed Ali,SonyMusicIndiaVEVO,,"['tum tak', 'tum tak song', 'tum tak lyrics', 'tum tak full video song raanjhanaa', 'tum tak raanjhanaa lyrics', 'tum tak full song', 'raanjhanaa movie song', 'ar rahman tum tak', 'tum tak tum tak arzi meri', 'raanjhanaa songs', 'tum tak javed ali', 'raanjhanaa', 'raanjhanaa movie songs', 'javed ali', 'sonam kapoor songs', 'best of ar rahman', 'tum tak raanjhanaa', 'ar rahman songs', 'raanjhanaa tum tak song', 'dhanush romantic songs', 'dhanush sonam kapoor songs', 'tum tak lyric video', 'tum tak ranjhana']",304,20130805,78932767,518882,2013,23
RCCz1WdU-D0,Beatles | Firoze Jong,Firoze Jong,,[],274,20230225,476034,8714,2023,0
JgDNFQ2RaLQ,Ed Sheeran - Sapphire (Official Music Video),Ed Sheeran,,"['edsheeran', 'ed sheeran', 'acoustic', 'live', 'cover', 'official', 'remix', 'official video', 'lyrics', 'session', 'ed sheeran sapphire', 'ed sheeran india', 'sapphire', 'ed sheeran music video', 'ed sheeran video', 'ed sheeran play', 'ed sheeran sapphire lyrics', 'sapphire lyrics', 'sapphire music video', 'ed sheeran sapphire india', 'sapphire india', 'sapphire official music video']",183,20250605,119657558,3425276,2025,22
Ib_L3vuUX5k,Gulbahar | গুলবাহার | Ishaan এর Gaan | Shuvendu Das Shuvo | Official Music Video,Ishaan,,"['Gulbahar', 'ishaanergaan', 'ishaan', 'shuvendudasshuvo', 'daraleduaarey', 'nithurmonohor', 'bondhuchikonkaliya', 'jene nio']",264,20250517,6130480,128838,2025,8
dJibiqUMxXk,Indalo - Ekanto Golaap | OFFICIAL MUSIC VIDEO,Indalo,,[],271,20240412,2426631,37353,2024,0
tnCvXqplP4w,rain in sylhet । sylhet agricultural University,Deluwar Hussen Tanvir,,[],27,20210728,58,6,2021,0
HhiBpR20RHE,Shomorpon - Owned (Audio),Owned The Band,,[],261,20211015,537761,11920,2021,0
BefnUx8wHxo,Tomake Khujechi | Monoshoroni | Cover,Deluwar Hussen Tanvir,,"['tomake khujechi', 'monoshoroni', 'cover', 'sylhet']",70,20220305,255,5,2022,4
